feature,importance
s_21_rolling_mean_10,0.0568598969753611
s_17_rolling_mean_10,0.050301919130132405
s_3_rolling_mean_20,0.047562851734731
s_11_rolling_mean_5,0.042876005873530396
s_4_rolling_mean_10,0.04059938506896565
s_11_rolling_mean_10,0.0325871249351802
s_3_rolling_mean_10,0.026807165865365835
s_4_rolling_mean_5,0.025657939183417713
s_17_rolling_mean_20,0.024482781401414536
s_21_rolling_mean_5,0.02283701740957857
s_20_rolling_mean_10,0.021631462400327327
s_3_rolling_mean_5,0.021227930397174622
s_15_rolling_mean_5,0.019872882800656286
s_15_rolling_mean_10,0.01986929968854833
s_11_rolling_mean_20,0.019807416546168945
s_20_rolling_mean_20,0.0194072479468591
s_9_rolling_mean_10,0.01862682086496008
s_2_rolling_mean_10,0.01819941556398006
s_9_rolling_mean_20,0.017222482763999167
s_4_rolling_mean_20,0.016913121518605582
s_20_rolling_mean_5,0.016878509894831507
s_14_rolling_mean_20,0.015115873159440865
s_2_rolling_mean_20,0.015101028437311285
s_15_rolling_mean_20,0.014952784232354082
s_7_rolling_mean_10,0.013897640306244392
s_7_rolling_mean_20,0.012817103617443365
s_14_rolling_mean_10,0.012540194328365705
s_2_rolling_mean_5,0.01160036907007919
s_17_rolling_mean_5,0.010972968146024997
s_12_rolling_mean_20,0.0106109245014512
s_9_rolling_mean_5,0.010515593584292103
s_12_rolling_mean_5,0.010478077408250628
s_9,0.010321562175895325
s_12_rolling_mean_10,0.009912296777983302
s_21_rolling_mean_20,0.009388906825515136
s_4,0.009216076949516074
s_14_rolling_mean_5,0.008858204429811304
s_8_rolling_mean_20,0.008667541296138106
s_13_rolling_mean_20,0.008081884754659258
s_9_lag_5,0.005658070306965255
s_14_rolling_std_20,0.005236486248869699
s_9_lag_3,0.005199591640668588
s_14_lag_3,0.005126693629255701
s_9_lag_1,0.004951717536211809
s_9_rolling_std_20,0.004790751176867761
s_12,0.004721225360725485
s_8_rolling_std_20,0.004674991467694574
s_8_rolling_mean_10,0.004475991488293649
s_15_rolling_std_20,0.004406929928975955
s_7_rolling_mean_5,0.004336531873013388
s_14,0.004322348833575219
s_3_rolling_std_20,0.00431699877679837
s_14_lag_1,0.004310666568618739
s_7_lag_1,0.004204359413601239
s_14_lag_5,0.004109138718380188
s_12_lag_5,0.003973102264267097
s_20_rolling_std_20,0.003953668004615549
s_13_rolling_mean_10,0.003925031981100339
s_13_rolling_std_20,0.003906775473608204
s_2,0.0037745625839389614
s_11_rolling_std_20,0.0037708890915289645
s_7_rolling_std_20,0.003618772678169584
s_12_rolling_std_20,0.0035834337708023105
s_4_rolling_std_20,0.003532214729602802
s_17_rolling_std_20,0.0033982949478976966
s_21_rolling_std_20,0.003120091102572963
s_2_rolling_std_20,0.002980129265844059
s_13_rolling_mean_5,0.002703638347904656
s_11,0.0025080762734667385
s_8_rolling_mean_5,0.0024920759794710605
s_15_rolling_std_10,0.002293961069967931
s_9_rolling_std_10,0.002284475984954816
s_8_rolling_std_10,0.002248295733726652
s_12_rolling_std_10,0.002180079786728465
s_21_rolling_std_10,0.0021232234492884884
s_14_rolling_std_10,0.0020999012219147504
s_3_rolling_std_10,0.002074804846254607
s_7_rolling_std_10,0.002065569561559134
s_11_rolling_std_10,0.002062991822249021
s_17_rolling_std_10,0.0020202644047753533
s_20_rolling_std_10,0.0019514540384635384
s_11_lag_1,0.0017785018956591894
s_2_rolling_std_10,0.0016875113433068823
s_4_rolling_std_10,0.001684747850225716
s_13_rolling_std_10,0.001662005915803303
s_21_rolling_std_5,0.0014509036707501361
s_3_rolling_std_5,0.001386872827345506
s_4_lag_1,0.001341605826705996
s_9_rolling_std_5,0.0013221856360168883
s_7_rolling_std_5,0.001259679365589099
s_14_rolling_std_5,0.0012502918171241365
s_12_rolling_std_5,0.0012018522862055527
s_11_lag_3,0.0011984197496559214
s_15_rolling_std_5,0.0011708876835583592
s_4_rolling_std_5,0.0011503931649705802
s_15,0.0011408631673473458
s_2_rolling_std_5,0.0011380420158281545
s_11_rolling_std_5,0.0011327124753541275
s_20_rolling_std_5,0.0011248170943689078
s_8_rolling_std_5,0.0010338035728410134
s_13_rolling_std_5,0.0009996932320992292
s_4_lag_3,0.0009967510588998866
s_17_rolling_std_5,0.0009156448113372312
s_21,0.0008917007556103536
s_4_lag_5,0.0008661551361308618
s_7,0.0008278126507862692
s_7_lag_3,0.0008192288393409645
s_11_lag_5,0.000798547544034865
s_21_lag_1,0.000796418057509806
s_12_lag_1,0.0007924680605496089
s_3_lag_1,0.000765923618415125
s_21_lag_5,0.0007547709031480147
s_3_lag_3,0.0007478574497070603
s_15_lag_3,0.0007332611544056289
s_3,0.0007194937858284331
s_15_lag_1,0.0007157003920395546
s_21_lag_3,0.0007109495063480453
s_20_trend_10,0.0007033557392730889
s_3_lag_5,0.0007009581625322719
s_12_lag_3,0.0007000655314020609
s_9_trend_10,0.0006706248209389589
s_11_trend_10,0.0006697653186792905
s_2_trend_10,0.0006640488389625369
s_7_trend_10,0.000658090310870792
s_2_lag_3,0.000653706662150208
s_14_trend_10,0.0006405226599016076
s_15_trend_10,0.0006288120176339653
s_15_trend_5,0.0006255262641283277
op_1,0.000624026671941622
s_21_trend_10,0.0006230139275350138
s_7_lag_5,0.0006175915184582221
s_15_lag_5,0.0006161539321872494
s_13_trend_10,0.0006069363906250242
s_8_trend_10,0.0006066787495255922
s_9_trend_5,0.0005997037853073949
s_4_trend_10,0.0005951742227629634
s_2_lag_1,0.0005874835076694731
s_2_lag_5,0.0005805719810961069
s_11_trend_5,0.0005791708038118961
s_20_lag_3,0.0005775216818154033
s_20_lag_1,0.0005723405070872792
s_21_trend_5,0.0005652810432632796
s_20,0.0005572107468875974
s_12_trend_10,0.0005530060630105218
s_3_trend_5,0.0005525117979591226
s_20_lag_5,0.0005519712419884114
s_17_trend_10,0.0005508589051787524
s_14_trend_5,0.0005466879896709062
s_3_trend_10,0.0005415843696003304
s_2_trend_5,0.0005399308214454672
s_7_trend_5,0.0005294254225092462
s_4_trend_5,0.0005289229780201836
s_20_trend_5,0.000509717319531327
s_12_trend_5,0.0005068725979415235
s_8_lag_1,0.000506216853856226
s_8_trend_5,0.0005028503327406422
s_13_lag_1,0.0004981873578728239
s_13,0.0004954457562431837
s_8_lag_5,0.0004940709422375574
s_8,0.0004931055048570445
s_13_lag_5,0.0004473773281966916
s_13_trend_5,0.00043348328340671663
op_2,0.00043237358225098685
s_13_lag_3,0.0004230543163398405
s_8_lag_3,0.00040890636950022464
s_17_trend_5,0.000316453043770117
s_17,0.00021243441556184156
s_17_lag_3,0.00018796134202182175
s_17_lag_5,0.0001624454103045892
s_17_lag_1,0.00011535519493484558
op_3,0.0
