mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
6.458297650019328,0.47123914228968533,0.3417905966440837,0.14683613120145755,100,2,6,sqrt,15,True,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 6, 'max_features': 'sqrt', 'max_depth': 15, 'bootstrap': True}",-998.4005887240149,-911.1126804886625,-981.9149943879513,-963.8094212002096,37.86514286577505,32,-423.68064984496203,-432.7988780757253,-439.115504652976,-431.86501085788785,6.3357591874234975
143.28333266576132,1.8811056382207274,0.8998663425445557,0.2801198681509962,300,10,1,0.3,20,False,"{'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 0.3, 'max_depth': 20, 'bootstrap': False}",-453.8574798397559,-416.71953266947935,-451.89982185794236,-440.8256114557259,17.064297661686968,5,-9.934957090398592,-9.402626233944694,-10.093209322109697,-9.810264215484327,0.2953951987938263
176.22592027982077,2.22496077263272,0.7204458713531494,0.16314050809670136,300,10,4,0.5,10,False,"{'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 0.5, 'max_depth': 10, 'bootstrap': False}",-809.3659766554043,-778.3748912234316,-824.8515958545095,-804.1974879111152,19.322801302537133,22,-446.1824283511344,-485.6546962363909,-496.74773173759263,-476.19495210837266,21.69988549688414
11.362073342005411,1.115835674244991,0.7131867408752441,0.32601753424782537,200,5,6,sqrt,10,True,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 6, 'max_features': 'sqrt', 'max_depth': 10, 'bootstrap': True}",-1171.6741799813685,-1081.6307054138606,-1149.9336008778027,-1134.4128287576773,38.363416631395154,37,-787.3556113134769,-817.2702689520493,-810.9970660692087,-805.207648778245,12.880468413711572
25.82492168744405,3.1824639125640637,0.9005011717478434,0.07797846536041327,200,5,2,sqrt,30,False,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 30, 'bootstrap': False}",-693.2376057963836,-618.9563609621882,-668.2973052261061,-660.163757328226,30.865749999902828,16,-6.875792248563065,-6.366446428835295,-6.481477653357795,-6.574572110252052,0.21811040697601736
629.2757960160574,2.468199376403866,1.9692858854929607,0.8453813688389792,800,2,1,0.5,15,False,"{'n_estimators': 800, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.5, 'max_depth': 15, 'bootstrap': False}",-453.7800118444529,-433.66079253642164,-460.8473069832245,-449.42937045469967,11.51731167469881,6,-33.419722995842825,-31.010922138186007,-35.89831681236311,-33.44298731546399,1.9953383333358548
165.99290164311728,2.5268667837265633,0.4556426207224528,0.09562978365789475,200,10,4,0.7,10,False,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 0.7, 'max_depth': 10, 'bootstrap': False}",-824.2653630880442,-809.1744337600621,-853.6171769579703,-829.0189912686923,18.452408901435987,23,-455.0512806462751,-520.2770680491604,-519.0101593682017,-498.1128360212124,30.453510228795935
38.551320711771645,3.52467213022291,1.4960288206736247,0.45968843142463583,800,15,2,log2,10,False,"{'n_estimators': 800, 'min_samples_split': 15, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 10, 'bootstrap': False}",-1250.0609015905295,-1153.4334074246121,-1230.768171558846,-1211.420826857996,41.7529078223001,40,-818.1598829688041,-839.9896054497334,-833.5152394510247,-830.5549092898541,9.154483852042109
3.3817996184031167,0.3816971930375426,0.310819149017334,0.14196061078495148,100,10,4,log2,,True,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': None, 'bootstrap': True}",-1109.5359027477048,-1012.2498651015574,-1086.4646766586488,-1069.4168148359702,41.50594716235058,35,-386.2190348698199,-391.14177186053365,-393.8103069847703,-390.3903712383746,3.14433938499453
5.725227514902751,0.5318859688154043,0.3325347105662028,0.10266143351525063,100,5,1,log2,25,True,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 25, 'bootstrap': True}",-1059.334316790615,-973.0168069878773,-1043.2316896345526,-1025.1942711376817,37.47612105647967,34,-182.2123770009104,-183.3902811846523,-185.9742954633845,-183.85898454964908,1.571150271371331
389.7036581834157,3.3909593298136564,1.500016689300537,0.036766212892154995,800,5,4,0.7,10,True,"{'n_estimators': 800, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 0.7, 'max_depth': 10, 'bootstrap': True}",-871.0724776142666,-829.2050638598374,-876.9106560423845,-859.0627325054962,21.24666820241237,25,-506.33975839680676,-542.6457492383894,-550.3247742431223,-533.1034272927728,19.182671621987453
119.40097618103027,2.6216061841115192,0.6525219281514486,0.01869650250117207,200,10,6,0.7,30,True,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 6, 'max_features': 0.7, 'max_depth': 30, 'bootstrap': True}",-659.0519620710096,-614.623906531475,-659.6897400355747,-644.4552028793531,21.095518821607836,12,-187.61799910749377,-195.49971996825886,-200.56497493302504,-194.56089800292588,5.327105891486577
